Countries and areas,Low birthweight     (%) U 2011-2016*,Early initiation of breastfeeding (%) 2011-2016*,Exclusive breastfeeding <6 months  (%) 2011-2016*,"Introduction to solid, semi-solid or soft foods 6-8 months (%) 2011-2016*",Minimum acceptable diet 6-23 months (%) 2011-2016*,Breastfeeding at age 2 (%) 2011-2016*,Stunting (%) moderate & severe 2011-2016*,Overweight (%) moderate & severe2011-2016*,Wasting (%) moderate & severe 2011-2016*,Wasting (%) severe 2011-2016*,"Vitamin A supplementation, full coverageΔ (%) 2015",Households consuming salt with iodine (%) 20112016*,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Nigeria,15,33,17,67,10,35,33,2,7,2,76,93,,103
Niue,,,,,,,,,,,,,,
Norway,5,,,,,,,,,,,,100,105
Oman,10,71,33,90,,48,14,4,8,2,,,101,106
Pakistan,32,18,38,66,15,56,45,5,11,3,98,69,99,103
Palau,7,,,,,,,,,,,,,
Panama,8,47,22,61,,34,19,,1,0,,,102,108
Papua New Guinea,11,,56,,,72,50,14,14,7,,,,108
Paraguay,6,47,24,,,14,11,12,3,0,,93,104,106
Peru,7,55,68,78,53,55,14,7,1,0,,90,103,107
Philippines,21,50,34,90,,41,33,4,7,2,72,52,,110
Poland,6,,,,,,,,,,,,100,111
Portugal,9,,,,,,,,,,,,,108
Qatar,8,34,29,50,,32,,,,,,,97,103
Republic of Korea,4,,,,,,3,7,1,0,,,100,108
Republic of Moldova,6,61,36,62,,12,6,5,2,1,,58,100,113
Romania,8,12,16,,,,13,8,4,1,,,100,110
Russian Federation,6,,,,,,,,,,,,101,117
Rwanda,7,81,87,57,19,87,37,8,2,1,96,91,118,107
Saint Kitts and Nevis,10,,,,,,,,,,,,98,
Saint Lucia,10,50,,,,,3,6,4,1,,75,100,107
Saint Vincent and the Grenadines,11,,,,,,,,,,,,,106
Samoa,10,88,51,,,74,5,5,4,1,,96,97,109
San Marino,10,,,,,,,,,,,,103,
Sao Tome and Principe,10,38,74,74,22,24,17,2,4,1,42,91,,107
Saudi Arabia,9,,,,,,9,6,12,5,,,,104
Senegal,19,31,33,63,10,48,17,1,7,1,29,57,108,106
Serbia,6,51,13,97,72,9,6,14,4,1,,,97,108
Seychelles,,,,,,,8,10,4,1,,,,113
Sierra Leone,11,54,32,63,7,48,38,9,9,4,97,74,101,102
Singapore,10,,,,,,4,3,4,1,,,,105
Slovakia,8,,,,,,,,,,,,101,110
Slovenia,6,,,,,,,,,,,,100,107
Solomon Islands,13,75,74,,,67,32,4,8,3,,,114,104
Somalia,,23,5,16,,27,25,3,15,5,33,7,,106
South Africa,,61,32,,23,13,27,13,3,1,,,,112
South Sudan,,48,45,21,,38,31,6,23,10,,60,,104
Spain,8,,,,,,,,,,,,100,107
Sri Lanka,17,80,76,,,84,17,2,15,3,74,,100,109
State of Palestine,9,41,39,90,42,12,7,8,1,0,,88,105,105
Sudan,,69,55,51,15,49,38,3,16,5,72,34,99,105
Suriname,14,45,3,47,,15,9,4,5,1,,,115,109
Swaziland,9,48,64,90,38,8,26,9,2,0,,90,107,112
Sweden,5,,,,,,,,,,,,100,104
Switzerland,7,,,,,,,,,,,,,105
Syrian Arab Republic,10,46,43,,,25,28,18,12,6,,,101,120
Tajikistan,10,50,34,49,20,50,27,7,10,4,97,84,101,109
Thailand,11,40,23,85,56,16,11,8,5,1,,85,,111
The former Yugoslav Republic of Macedonia,6,21,23,41,,13,5,12,2,0,,,99,105
Timor-Leste,12,93,62,97,18,39,50,2,11,2,61,76,103,105
Togo,11,61,58,67,12,61,28,2,7,2,6,77,96,103
Tokelau,,,,,,,,,,,,,,
Tonga,,79,52,,,30,8,17,5,2,,,,109
Trinidad and Tobago,12,41,13,83,,22,5,5,5,1,,53,,110
Tunisia,7,40,9,27,,19,10,14,3,2,,,103,106
Turkey,11,50,30,75,,34,10,11,2,0,,85,99,109
Turkmenistan,5,73,59,82,77,20,12,6,4,1,,100,,111
Turks and Caicos Islands,,,,,,,,,,,,,,
Tuvalu,6,15,35,,,51,10,6,3,1,,,,
Uganda,12,53,66,67,14,43,29,4,4,1,,92,103,108
Ukraine,5,66,20,43,,22,4,27,0,4,,36,100,115
United Arab Emirates,6,,,,,,,,,,,,103,103
United Kingdom,7,,,,,,,,,,,,,105
United Republic of Tanzania,8,51,59,92,9,43,34,4,5,1,87,76,115,106
United States,8,,24,,,,2,6,1,0,,,,106
Uruguay,8,77,,,,,11,7,1,0,,,101,110
Uzbekistan,5,67,26,47,,38,20,13,5,2,98,82,101,108
Vanuatu,10,85,73,72,,49,29,5,4,1,,33,,106
Venezuela (Bolivarian Republic of),9,,,,,,13,6,4,,,,100,112
Viet Nam,5,27,24,91,59,22,25,5,6,1,97,61,104,113
Yemen,32,53,10,69,15,45,47,2,16,5,8,49,93,105
Zambia,11,66,73,82,11,42,40,6,6,3,,88,94,108
Zimbabwe,11,58,48,91,8,14,27,6,3,1,45,93,104,106
