Countries and areas,Child labour (%)+  total,Child labour (%)+  male,Child labour (%)+ female,Child marriage (%) married by 15,Child marriage (%) married by 18,Birth registration (%),Female genital mutilation/cutting (%) prevalence women,Female genital mutilation/cutting (%) prevalence girls,Female genital mutilation/cutting (%) support for the practice,Justification of wife-beating (%) male,Justification of wife-beating (%) female,Violent discipline (%) total,Violent discipline (%) male,Violent discipline (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Tunisia,2,3,2,0,2,99,,,,,30,93,94,92,103,106
Turkey,6,8,4,1,15,99,,,,,13,,,,99,109
Turkmenistan,0,1,0,0,6,100,,,,,26,37,39,34,,111
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,,,,0,10,50,,,,73,70,,,,,
Uganda,16,17,16,10,40,30,1,1,9,44,58,,,,103,108
Ukraine,2,3,2,0,9,100,,,,9,3,61,68,55,100,115
United Arab Emirates,,,,,,100,,,,,,,,,103,103
United Kingdom,,,,,,100,,,,,,,,,,105
United Republic of Tanzania,29,29,28,5,31,26,10,0,3,40,58,,,,115,106
United States,,,,,,100,,,,,,,,,,106
Uruguay,8,8,8,1,25,100,,,,,2,55,58,51,101,110
Uzbekistan,,,,0,7,100,,,,61,70,,,,101,108
Vanuatu,15,15,16,3,21,43,,,,60,60,84,83,84,,106
Venezuela (Bolivarian Republic of),8,9,6,,,81,,,,,,,,,100,112
Viet Nam,16,17,16,1,11,96,,,,,28,68,72,65,104,113
Yemen,23,21,24,9,32,31,19,16,19,,49,79,81,77,93,105
Zambia,41,42,40,6,31,11,,,,32,47,,,,94,108
Zimbabwe,,,,4,32,44,,,,33,39,63,63,62,104,106
