Countries and areas,"HIV incidence per 1,000 uninfected population All ages","HIV incidence per 1,000 uninfected population children <5","HIV incidence per 1,000 uninfected population adolescents 1519",People living with HIV All ages,People living with HIV children <15,People living with HIV adolescents 1019,New HIV infections All ages,New HIV infections children <5,New HIV infections adolescents 1519,AIDSrelated deaths All ages,AIDSrelated deaths children <15,AIDSrelated deaths adolescents 1019,"Pregnant women reciving ARVs for PMTCT (%)
2016*",People living with HIV receiving antiretroviral therapy (ART) (%) All ages,People living with HIV receiving antiretroviral therapy (ART) (%) children <15,People living with HIV receiving antiretroviral therapy (ART) (%) adolescents 1019,Condom use among adolescents with multiple partners (%) male,Condom use among adolescents with multiple partners (%) female,Adolescents tested for HIV in the last 12 months and received results (%) male,Adolescents tested for HIV in the last 12 months and received results (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Pakistan,0.10,0.04,0.05,"130,000","3,300","2,300","19,000","<1,000","<1,000","5,500",<500,<100,4,7,10,85,,,,,99,103
Palau,,,,,,,,,,,,,,,,,,,,,,
Panama,0.34,0.08,0.70,"21,000",,,"1,300",,<500,"<1,000",,,,54,,,,,,,102,108
Papua New Guinea,0.37,0.42,0.27,"46,000","3,400","2,000","2,800",<500,<500,"1,100",<500,<100,33,52,37,,,,,,,108
Paraguay,0.20,0.05,0.38,"19,000",<500,"<1,000","1,300",<100,<500,"<1,000",<100,<100,71,35,55,25,,50,,,104,106
Peru,,,,"70,000","1,300","2,400","2,700",<100,,"2,200",<100,<100,85,60,73,15,,20,,,103,107
Philippines,0.11,0.01,0.25,"56,000",<500,"5,200","10,000",<200,"2,400","<1,000",<100,<100,12,32,10,3,,,,<0.1,,110
Poland,,,,,,,,,,,,,,,,,,,,,100,111
Portugal,,,,,,,,,,,,,,,,,,,,,,108
Qatar,0.02,0.03,0.04,<100,,,<100,,<100,<100,,,,86,,,,,,,97,103
Republic of Korea,,,,,,,,,,,,,,,,,,,,,100,108
Republic of Moldova,0.38,0.06,0.19,"15,000",<200,<200,"1,600",<100,<100,<500,<100,<100,>95,29,83,55,,,6,10,100,113
Romania,0.04,<0.01,0.10,"16,000",<100,<500,"<1,000",<100,<200,<200,<100,<100,>95,68,>95,66,,,,,100,110
Russian Federation,,,,,,,,,,,,,,,,,,,,,101,117
Rwanda,0.70,0.50,0.85,"220,000","16,000","16,000","7,500","<1,000","<1,000","3,300","<1,000",<500,82,80,55,,,,22,27,118,107
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,54,50,,,98,
Saint Lucia,,,,,,,,,,,,,,,,,,,,12,100,107
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,106
Samoa,,,,,,,,,,,,,,,,,,,1,0,97,109
San Marino,,,,,,,,,,,,,,,,,,,,,103,
Sao Tome and Principe,,,,,,,,,,,,,,,,,79,,8,22,,107
Saudi Arabia,0.02,0.01,0.01,"8,200",<500,<200,<500,<100,<100,<500,<100,<100,39,60,48,>95,,,,,,104
Senegal,0.08,0.16,0.12,"41,000","4,800","2,900","1,100",<500,<200,"1,900",<500,<200,55,52,26,31,,,6,10,108,106
Serbia,0.03,0.01,0.06,"2,700",,,<500,,<100,<100,,,,62,,,63,,1,1,97,108
Seychelles,,,,,,,,,,,,,,,,,,,,,,113
Sierra Leone,,,,"67,000","4,400","5,000","5,300",<500,,"2,800",<500,<200,87,26,18,,24,10,3,11,101,102
Singapore,,,,,,,,,,,,,,,,,,,,,,105
Slovakia,0.02,<0.01,0.04,"<1,000",,,<200,,<100,<100,,,,59,,,,,,,101,110
Slovenia,0.03,<0.01,0.06,"<1,000",,,<100,,<100,<100,,,,,,,,,,,100,107
Solomon Islands,,,,,,,,,,,,,,,,,54,15,,,114,104
Somalia,0.17,0.18,0.13,"24,000","2,500","1,400","1,800",<500,<200,"1,700",<500,<100,7,11,5,,,,,,,106
South Africa,5.58,2.19,10.51,"7,100,000","320,000","370,000","270,000","12,000","50,000","110,000","9,300","6,200",>95,56,55,,88,,29,38,,112
South Sudan,1.35,1.25,1.08,"200,000","18,000","10,000","16,000","2,400","1,500","13,000","1,700",<500,29,10,5,,,6,,4,,104
Spain,0.09,<0.01,0.21,"140,000",<100,"1,200","3,900",<100,<500,,,,>95,77,>95,,,,,,100,107
Sri Lanka,0.03,<0.01,0.06,"4,000",,,"<1,000",,<100,<200,,,,27,,,,,,,100,109
State of Palestine,,,,,,,,,,,,,,,,,,,,,105,105
Sudan,0.13,0.10,0.26,"56,000","3,000","3,800","5,000","<1,000","1,100","3,000",<500,<100,4,10,16,,,,,,99,105
Suriname,0.62,0.17,1.35,"4,900",<200,<500,<500,<100,<100,<200,<100,<100,89,48,81,36,,86,,11,115,109
Swaziland,9.37,4.50,11.91,"220,000","15,000","15,000","8,800","<1,000","1,400","3,900","<1,000",<500,95,79,64,91,,,30,41,107,112
Sweden,0.06,<0.01,0.14,"11,000",<100,<200,"<1,000",<100,<100,<100,<100,<100,>95,83,>95,,,,,,100,104
Switzerland,,,,,,,,,,,,,,,,,,,,,,105
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,101,120
Tajikistan,0.15,0.02,0.07,"14,000",<500,<500,"1,300",<100,<100,"<1,000",<100,<100,85,30,88,90,,,,1,101,109
Thailand,0.10,0.01,0.23,"450,000","4,100","9,700","6,400",<100,"<1,000","16,000",<100,<100,95,69,86,>95,,,4,6,,111
The former Yugoslav Republic of Macedonia,0.02,<0.01,0.03,<500,,,<100,,<100,<100,,,,48,,,,,,,99,105
TimorLeste,,,,,,,,,,,,,,,,,,,,,103,105
Togo,0.59,0.65,0.49,"100,000","12,000","7,600","4,100","<1,000",<500,"5,100","<1,000",<500,86,51,26,27,,,7,11,96,103
Tokelau,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,2,0,,109
Trinidad and Tobago,0.29,0.05,0.60,"11,000",<100,<500,<500,<100,<100,<500,<100,<100,95,62,>95,,,,,,,110
