Countries and areas,Birth registration (%) poorest 20%,Birth registration (%) richest 20%,Birth registration (%) Ratio of richest to poorest,Skilled birth attendant (%) poorest 20%,Skilled birth attendant (%) richest 20%,Skilled birth attendant (%) Ratio of richest to poorest,Stunting prevalence in children under 5 (moderate & severe) poorest 20%,Stunting prevalence in children under 5 (moderate & severe) richest 20%,Stunting prevalence in children under 5 (moderate & severe) Ratio of poorest to richest,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) poorest 20%,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) richest 20%,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of richest to poorest,Primary school net attendance ratio poorest 20%,Primary school net attendance ratio richest 20%,Primary school net attendance ratio Ratio of richest to poorest,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 poorest 20%","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 richest 20%","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of richest to poorest","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 poorest 20%","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 richest 20%","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 Ratio of richest to poorest",Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Honduras,92,95,1.0,58,98,1.7,42,8,5.3,63,52,0.8,,,,13,44,3.4,,,,110,107
Hungary,,,,,,,,,,,,,,,,,,,,,,100,110
Iceland,,,,,,,,,,,,,,,,,,,,,,102,104
India,57,86,1.5,64,95,1.5,51,22,1.9,33,45,1.4,70,96,1.4,4,45,11.7,15,55,3.8,99,105
Indonesia,41,88,2.2,63,98,1.6,48,29,1.7,39,34,0.9,99,100,1.0,3,23,7.5,2,27,12.2,,106
Iran (Islamic Republic of),,,,,,,21,1,17.3,,,,,,,,,,,,,99,103
Iraq,98,100,1.0,82,96,1.2,25,22,1.1,19,22,1.1,79,98,1.2,1,8,7.2,,,,,107
Ireland,,,,,,,,,,,,,,,,,,,,,,,105
Israel,,,,,,,,,,,,,,,,,,,,,,98,104
Italy,,,,,,,,,,,,,,,,,,,,,,100,106
Jamaica,99,100,1.0,97,100,1.0,4,8,0.5,,,,98,99,1.0,,,,,,,103,107
Japan,,,,,,,,,,,,,,,,,,,,,,100,108
Jordan,98,100,1.0,99,100,1.0,14,2,7.7,22,21,1.0,97,99,1.0,,,,,,,,105
Kazakhstan,99,100,1.0,100,100,1.0,10,6,1.7,,,,100,99,1.0,15,33,2.2,,,,101,115
Kenya,52,89,1.7,31,93,3.0,36,14,2.6,52,55,1.0,69,94,1.4,29,61,2.1,42,68,1.6,,108
Kiribati,93,94,1.0,76,93,1.2,,,,,,,,,,42,49,1.2,38,51,1.3,,110
Kuwait,,,,,,,,,,,,,,,,,,,,,,101,103
Kyrgyzstan,96,99,1.0,97,99,1.0,18,11,1.7,,,,99,100,1.0,22,18,0.8,,,,100,112
Lao People's Democratic Republic,66,93,1.4,11,90,8.5,61,20,3.1,35,69,2.0,71,97,1.4,6,41,6.5,12,43,3.6,104,105
Latvia,,,,,,,,,,,,,,,,,,,,,,100,114
Lebanon,,,,,,,,,,,,,,,,,,,,,,108,105
Lesotho,34,63,1.8,60,94,1.6,46,13,3.4,,,,88,95,1.1,26,48,1.8,19,36,1.9,129,109
Liberia,16,31,1.9,43,89,2.1,35,20,1.8,57,44,0.8,25,65,2.6,14,29,2.1,17,37,2.2,,103
Libya,,,,,,,,,,,,,,,,,,,,,,,108
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,100,115
Luxembourg,,,,,,,,,,,,,,,,,,,,,,103,106
Madagascar,72,94,1.3,27,73,2.7,48,44,1.1,11,17,1.6,54,82,1.5,10,40,4.1,13,41,3.2,105,105
Malawi,65,74,1.1,87,95,1.1,46,24,1.9,63,61,1.0,89,98,1.1,34,48,1.4,32,53,1.7,102,109
Malaysia,,,,,,,,,,,,,,,,,,,,,,101,106
Maldives,92,94,1.0,89,99,1.1,22,16,1.4,,,,94,94,1.0,23,48,2.0,,,,106,103
Mali,69,98,1.4,6,81,12.6,41,15,3.0,18,25,1.4,27,86,3.2,12,33,2.7,17,53,3.2,94,102
Malta,,,,,,,,,,,,,,,,,,,,,,104,104
Marshall Islands,92,98,1.1,68,99,1.5,,,,,,,,,,12,39,3.3,37,58,1.6,,
Mauritania,33,84,2.6,27,96,3.6,39,18,2.2,9,33,3.8,,,,2,12,7.9,,,,98,105
Mauritius,,,,,,,,,,,,,,,,,,,,,,99,110
Mexico,83,99,1.2,92,100,1.1,23,5,4.7,,,,96,99,1.0,21,39,1.9,,,,102,107
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,103
Monaco,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,99,100,1.0,97,99,1.0,19,6,3.3,35,43,1.3,96,99,1.0,17,42,2.5,12,48,4.1,,113
Montenegro,99,99,1.0,99,100,1.0,5,9,0.5,,,,95,100,1.0,39,51,1.3,33,47,1.4,102,106
Montserrat,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,38,96,2.5,28,7,4.2,14,23,1.7,77,97,1.3,,,,,,,96,103
Mozambique,42,60,1.4,32,90,2.8,51,24,2.1,41,70,1.7,58,93,1.6,19,44,2.3,20,44,2.2,94,108
Myanmar,69,97,1.4,36,97,2.7,38,16,2.4,,,,84,97,1.2,,,,,,,,107
Namibia,83,93,1.1,73,98,1.4,31,9,3.6,64,70,1.1,88,97,1.1,61,69,1.1,55,67,1.2,104,109
Nauru,71,88,1.2,97,98,1.0,52,18,2.9,,,,,,,13,10,0.8,,25,,,
Nepal,55,58,1.1,34,89,2.6,49,17,3.0,,,,81,82,1.0,26,54,2.1,,,,104,105
Netherlands,,,,,,,,,,,,,,,,,,,,,,,105
New Zealand,,,,,,,,,,,,,,,,,,,,,,,104
Nicaragua,,,,42,99,2.4,35,6,6.0,53,64,1.2,,,,,,,,,,,108
Niger,50,89,1.8,12,71,6.0,47,35,1.4,34,49,1.4,35,81,2.3,6,30,5.0,6,42,7.2,104,103
Nigeria,7,65,9.7,5,81,15.6,54,18,3.0,20,53,2.6,28,95,3.3,15,33,2.2,23,43,1.9,,103
Niue,,,,,,,,,,,,,100,100,1.0,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,100,105
Oman,,,,,,,,,,,,,,,,,,,,,,101,106
Pakistan,5,71,14.3,30,85,2.9,62,23,2.7,34,48,1.4,39,87,2.2,,,,,,,99,103
Palau,,,,,,,,,,,,,,,,,,,,,,,
Panama,90,97,1.1,72,100,1.4,,,,,,,96,97,1.0,,,,,,,102,108
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,108
Paraguay,67,89,1.3,,,,28,13,2.2,,,,,,,,,,,,,104,106
Peru,95,99,1.0,71,100,1.4,32,3,11.3,23,44,1.9,92,92,1.0,,,,,,,103,107
Philippines,,,,42,96,2.3,49,15,3.3,,,,79,92,1.2,14,26,1.8,,,,,110
Poland,,,,,,,,,,,,,,,,,,,,,,100,111
Portugal,,,,,,,,,,,,,,,,,,,,,,,108
Qatar,,,,,,,,,,,,,,,,,,,,,,97,103
Republic of Korea,,,,,,,,,,,,,,,,,,,,,,100,108
Republic of Moldova,99,100,1.0,98,99,1.0,11,3,4.2,,,,98,99,1.0,14,47,3.3,13,40,3.1,100,113
Romania,,,,,,,,,,,,,,,,,,,,,,100,110
Russian Federation,,,,,,,,,,,,,,,,,,,,,,101,117
Rwanda,43,64,1.5,84,97,1.2,49,21,2.3,22,37,1.7,88,97,1.1,,,,,,,118,107
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,98,
Saint Lucia,,,,,,,,,,,,,98,100,1.0,,,,,,,100,107
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,106
Samoa,47,77,1.6,72,94,1.3,6,3,2.3,,,,85,91,1.1,3,3,1.0,3,9,2.7,97,109
San Marino,,,,,,,,,,,,,,,,,,,,,,103,
Sao Tome and Principe,88,100,1.1,85,98,1.1,26,7,3.8,,,,92,96,1.1,39,51,1.3,38,56,1.5,,107
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,104
Senegal,44,93,2.1,29,81,2.8,28,10,2.8,28,23,0.8,43,78,1.8,,,,,,,108,106
Serbia,97,100,1.0,98,95,1.0,14,4,3.3,,,,97,100,1.0,28,69,2.4,28,66,2.4,97,108
Seychelles,,,,,,,,,,,,,,,,,,,,,,,113
Sierra Leone,77,80,1.0,51,84,1.6,43,28,1.5,87,88,1.0,62,92,1.5,14,36,2.6,,,,101,102
Singapore,,,,,,,,,,,,,,,,,,,,,,,105
Slovakia,,,,,,,,,,,,,,,,,,,,,,101,110
Slovenia,,,,,,,,,,,,,,,,,,,,,,100,107
Solomon Islands,87,88,1.0,72,96,1.3,36.2 ,25,,37,39,1.0,,,,17,37,2.1,35,50,1.5,114,104
Somalia,1,7,6.6,1,27,27.1,52,25,2.0,7,31,4.8,4,50,13.2,1,8,13.5,,,,,106
South Africa,,,,93,99,1.1,36,13,2.9,,,,,,,,,,,,,,112
South Sudan,21,57,2.7,8,41,5.1,31,27,1.2,27,52,1.9,10,50,5.1,3,18,6.1,,,,,104
Spain,,,,,,,,,,,,,,,,,,,,,,100,107
Sri Lanka,97,98,1.0,97,99,1.0,19,10,2.0,,,,,,,,,,,,,100,109
State of Palestine,100,99,1.0,100,99,1.0,8,7,1.1,23,31,1.3,99,99,1.0,5,10,2.1,,,,105,105
Sudan,37,98,2.6,48,99,2.1,44,21,2.1,16,21,1.3,48,94,1.9,2,19,8.7,,,,99,105
Suriname,98,100,1.0,83,94,1.1,13,6,2.4,,,,92,97,1.1,26,52,2.0,,,,115,109
Swaziland,39,78,2.0,76,95,1.2,30,9,3.3,,,,97,98,1.0,38,54,1.4,40,69,1.7,107,112
Sweden,,,,,,,,,,,,,,,,,,,,,,100,104
Switzerland,,,,,,,,,,,,,,,,,,,,,,,105
Syrian Arab Republic,93,99,1.1,75,99,1.3,35,25,1.4,46,59,1.3,92,99,1.1,4,10,2.9,,,,101,120
Tajikistan,86,90,1.0,74,96,1.3,32,21,1.5,53,62,1.2,85,88,1.0,,,,,,,101,109
Thailand,100,100,1.0,98,100,1.0,13,12,1.1,78,81,1.0,92,97,1.1,42,53,1.3,37,53,1.4,,111
The former Yugoslav Republic of Macedonia,99,100,1.0,78,97,1.2,7,2,3.6,,,,96,99,1.0,9,45,5.0,,,,99,105
Timor-Leste,50,56,1.1,10,69,6.9,59,39,1.5,70,71,1.0,60,84,1.4,9,16,1.8,11,35,3.0,103,105
