Countries and areas,Birth registration (%) Urban,Birth registration (%) Rural,Birth registration (%) Ratio of urban to rural,Skilled birth attendant (%) Urban,Skilled birth attendant (%)  Rural,Skilled birth attendant (%) Ratio of urban to rural,Stunting prevalence in children under 5 (moderate & severe) Urban,Stunting prevalence in children under 5 (moderate & severe) Rural,Stunting prevalence in children under 5 (moderate & severe) Ratio of rural to urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Rural,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of urban to rural,Primary school net attendance ratio Urban,Primary school net attendance ratio Rural,Primary school net attendance ratio Ratio of urban to rural,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Urban","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Rural","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of urban to rural",Use of basic sanitation services (%)  Urban,Use of basic sanitation services (%)  Rural,Use of basic sanitation services (%) Ratio of urban to rural,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Côte d'Ivoire,85,54,1.6,84,45,1.9,22,34,1.6,22,14,1.5,85,71,1.2,22,8,2.7,45,13,3.5,95,106
Croatia,,,,,,,,,,,,,,,,,,,98,96,1.0,99,109
Cuba,100,100,1.0,99,100,1.0,,,,62,59,1.0,,,,61,63,1.0,92,88,1.0,100,105
Cyprus,,,,,,,,,,,,,,,,,,,100,99,1.0,99,106
Czechia,,,,,,,,,,,,,,,,,,,99,99,1.0,100,108
Democratic People's Republic of Korea,100,100,1.0,100,100,1.0,23,45,1.9,75,73,1.0,100,99,1.0,11,4,2.8,83,68,1.2,,110
Democratic Republic of the Congo,30,22,1.3,94,74,1.3,33,47,1.4,44,37,1.2,93,84,1.1,24,15,1.6,23,18,1.3,99,105
Denmark,,,,,,,,,,,,,,,,,,,100,100,1.0,100,105
Djibouti,92,84,1.1,98,55,1.8,30,42,1.4,,,,,,,18,9,2.0,63,13,4.8,88,105
Dominica,,,,,,,,,,,,,,,,,,,,,,95,
Dominican Republic,90,82,1.1,98,97,1.0,7,6,0.9,50,42,1.2,,,,49,38,1.3,85,74,1.2,105,109
Ecuador,95,91,1.0,98,99,1.0,,,,52,35,1.5,97,97,1.0,,,,89,80,1.1,102,107
Egypt,100,99,1.0,97,89,1.1,23,21,0.9,26,29,0.9,97,97,1.0,5,4,1.5,97,90,1.1,,106
El Salvador,98,99,1.0,99,96,1.0,11,17,1.5,72,68,1.1,97,95,1.0,37,22,1.7,93,87,1.1,105,113
Equatorial Guinea,60,47,1.3,86,53,1.6,20,32,1.6,55,27,2.0,,,,27,9,2.9,80,71,1.1,100,105
Eritrea,,,,74,17,4.4,38,56,1.4,51,41,1.2,91,77,1.2,32,20,1.7,29,6,4.7,103,107
Estonia,,,,,,,,,,,,,,,,,,,100,100,1.0,101,113
Ethiopia,12,2,7.2,80,21,3.8,25,40,1.6,41,28,1.4,80,63,1.3,38,19,2.0,18,4,4.3,105,106
Fiji,,,,,,,,,,,,,,,,,,,96,95,1.0,98,109
Finland,,,,,,,,,,,,,,,,,,,99,99,1.0,100,107
France,,,,,,,,,,,,,,,,,,,99,99,1.0,,108
Gabon,89,91,1.0,93,69,1.3,15,30,2.0,27,21,1.3,98,98,1.0,32,15,2.2,42,32,1.3,,105
Gambia,72,72,1.0,75,41,1.9,19,29,1.5,62,57,1.1,74,58,1.3,32,18,1.8,46,35,1.3,106,104
Georgia,100,100,1.0,99,98,1.0,10,12,1.2,44,36,1.2,98,97,1.0,,,,95,73,1.3,100,112
Germany,,,,,,,,,,,,,,,,,,,99,99,1.0,100,106
Ghana,79,63,1.3,87,57,1.5,15,22,1.5,48,49,1.0,75,66,1.1,23,17,1.4,19,9,2.1,97,103
Greece,,,,,,,,,,,,,,,,,,,99,98,1.0,100,107
Grenada,,,,,,,,,,,,,,,,,,,,,,,107
Guatemala,97,96,1.0,84,55,1.5,35,53,1.5,51,48,1.1,96,92,1.0,30,16,1.9,81,53,1.5,99,109
Guinea,83,49,1.7,84,32,2.7,18,36,2.0,46,30,1.5,82,49,1.7,32,16,2.0,34,15,2.3,97,102
Guinea-Bissau,34,18,2.0,72,29,2.5,21,32,1.5,42,30,1.4,74,53,1.4,26,18,1.4,35,8,4.1,,106
Guyana,91,88,1.0,99,82,1.2,10,13,1.3,,,,96,97,1.0,64,47,1.4,89,85,1.0,105,107
Haiti,85,77,1.1,59,25,2.4,16,25,1.6,56,51,1.1,90,81,1.1,41,29,1.4,37,22,1.7,,107
Holy See,,,,,,,,,,,,,,,,,,,,,,,
Honduras,95,93,1.0,94,73,1.3,15,29,2.0,59,61,1.0,92,92,1.0,42,23,1.9,84,75,1.1,110,107
Hungary,,,,,,,,,,,,,,,,,,,98,99,1.0,100,110
Iceland,,,,,,,,,,,,,,,,,,,99,100,1.0,102,104
India,83,67,1.2,90,78,1.2,31,41,1.3,59,48,1.2,88,82,1.1,33,14,2.4,65,34,1.9,99,105
Indonesia,79,65,1.2,97,88,1.1,32,41,1.3,41,37,1.1,100,99,1.0,14,9,1.6,77,57,1.4,,106
Iran (Islamic Republic of),99,98,1.0,98,93,1.1,5,9,1.7,64,58,1.1,97,95,1.0,,,,92,79,1.2,99,103
Iraq,99,99,1.0,94,85,1.1,22,24,1.1,25,19,1.3,94,84,1.1,4,1,3.7,86,86,1.0,,107
Ireland,,,,,,,,,,,,,,,,,,,91,95,1.0,,105
Israel,,,,,,,,,,,,,,,,,,,100,100,1.0,98,104
Italy,,,,,,,,,,,,,,,,,,,99,99,1.0,100,106
Jamaica,100,99,1.0,100,98,1.0,-,3,,,,,98,98,1.0,,,,84,87,1.0,103,107
Japan,,,,,,,,,,,,,,,,,,,,,,100,108
Jordan,99,100,1.0,100,100,1.0,8,9,1.2,20,23,0.9,98,98,1.0,8,11,0.7,97,96,1.0,,105
Kazakhstan,100,100,1.0,99,99,1.0,7,9,1.2,,,,99,100,1.0,31,21,1.5,97,99,1.0,101,115
Kenya,79,61,1.3,82,50,1.6,20,29,1.5,58,52,1.1,89,84,1.1,63,52,1.2,35,28,1.3,,108
Kiribati,95,93,1.0,84,77,1.1,,,,,,,,,,45,43,1.1,49,32,1.5,,110
Kuwait,,,,,,,,,,,,,,,,,,,,,,101,103
Kyrgyzstan,99,97,1.0,99,98,1.0,12,13,1.1,34,33,1.0,99,100,1.0,18,21,0.9,93,99,0.9,100,112
Lao People's Democratic Republic,88,71,1.2,79,29,2.7,27,49,1.8,65,40,1.6,95,83,1.1,39,18,2.2,93,60,1.6,104,105
Latvia,,,,,,,,,,,,,,,,,,,97,84,1.2,100,114
Lebanon,,,,,,,,,,,,,,,,,,,,,,108,105
Lesotho,54,40,1.3,90,73,1.2,27,35,1.3,53,54,1.0,94,91,1.0,44,35,1.3,46,43,1.1,129,109
Liberia,29,20,1.5,73,50,1.5,31,34,1.1,57,63,0.9,52,31,1.7,40,27,1.5,28,6,4.7,,103
Libya,,,,,,,,,,,,,,,,,,,,,,,108
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,97,86,1.1,100,115
Luxembourg,,,,,,,,,,,,,,,,,,,97,99,1.0,103,106
Madagascar,97,81,1.2,78,39,2.0,43,50,1.2,16,14,1.1,86,66,1.3,44,18,2.5,16,6,2.6,105,105
Malawi,75,66,1.1,95,89,1.1,25,39,1.6,60,66,0.9,97,93,1.0,47,40,1.2,49,43,1.1,102,109
Malaysia,,,,,,,,,,,,,,,,,,,100,99,1.0,101,106
Maldives,93,92,1.0,99,93,1.1,16,22,1.3,,,,94,94,1.0,43,32,1.4,93,98,0.9,106,103
Mali,97,85,1.1,73,14,5.2,17,34,2.0,29,20,1.5,83,46,1.8,32,16,2.0,46,22,2.1,94,102
Malta,,,,,,,,,,,,,,,,,,,100,100,1.0,104,104
Marshall Islands,96,96,1.0,97,68,1.4,,,,39,37,1.1,,,,33,12,2.7,95,66,1.4,,
Mauritania,75,49,1.5,88,49,1.8,25,33,1.3,26,14,2.0,,,,9,4,2.7,63,17,3.7,98,105
Mauritius,,,,,,,,,,,,,,,,,,,94,93,1.0,99,110
Mexico,96,94,1.0,99,94,1.1,10,19,1.9,61,63,1.0,98,98,1.0,33,25,1.3,91,81,1.1,102,107
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,103
Monaco,,,,,,,,,,,,,,,,,,,100,,,,
Mongolia,99,99,1.0,99,98,1.0,8,15,1.7,46,38,1.2,99,98,1.0,36,21,1.7,66,41,1.6,,113
Montenegro,99,100,1.0,99,100,1.0,10,9,1.0,,,,97,99,1.0,47,49,1.0,98,92,1.1,102,106
Montserrat,,,,,,,,,,,,,,,,,,,,,,,
Morocco,97,91,1.1,92,55,1.7,9,21,2.4,23,21,1.1,96,83,1.2,,,,89,75,1.2,96,103
Mozambique,51,47,1.1,80,44,1.8,36,46,1.3,65,50,1.3,83,67,1.2,39,25,1.6,47,12,3.8,94,108
Myanmar,94,78,1.2,88,52,1.7,20,32,1.6,67,61,1.1,96,92,1.1,28,11,2.5,76,59,1.3,,107
Namibia,89,86,1.0,95,82,1.2,16,27,1.7,75,69,1.1,95,91,1.0,67,55,1.2,55,15,3.6,104,109
Nauru,,,,,,,,,,,,,,,,,,,66,,,,
Nepal,57,58,1.0,68,47,1.4,32,40,1.3,36,38,0.9,80,76,1.1,25,14,1.7,52,45,1.2,104,105
Netherlands,,,,,,,,,,,,,,,,,,,98,100,1.0,,105
New Zealand,,,,,,,,,,,,,,,,,,,100,100,1.0,,104
Nicaragua,,,,97,79,1.2,15,30,2.0,74,57,1.3,76,64,1.2,,,,86,63,1.4,,108
Niger,92,60,1.5,83,32,2.6,34,45,1.3,47,44,1.1,83,45,1.9,31,9,3.3,44,6,7.4,104,103
Nigeria,50,19,2.7,62,21,3.0,26,43,1.7,45,28,1.6,87,57,1.5,30,20,1.4,39,27,1.4,,103
Niue,,,,,,,,,,,,,100,100,1.0,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,98,98,1.0,100,105
Oman,,,,99,98,1.0,14,15,1.1,58,62,0.9,98,97,1.0,,,,99,99,1.0,101,106
Pakistan,59,23,2.6,71,44,1.6,37,48,1.3,42,37,1.1,75,59,1.3,,,,74,48,1.5,99,103
Palau,,,,,,,,,,,,,,,,,,,100,100,1.0,,
Panama,98,93,1.1,100,78,1.3,,,,61,44,1.4,97,97,1.0,,,,86,59,1.4,102,108
Papua New Guinea,,,,88,48,1.9,36,51,1.4,,,,,,,,,,55,13,4.2,,108
Paraguay,87,80,1.1,94,79,1.2,12,10,0.8,,,,92,90,1.0,,,,98,81,1.2,104,106
