Countries and areas,Attendance in early childhood education total,Attendance in early childhood education male,Attendance in early childhood education female,Attendance in early childhood education poorest 20%,Attendance in early childhood education richest 20%,Adult support for learning total,Adult support for learning male,Adult support for learning female,Adult support for learning poorest 20%,Adult support for learning richest 20%,"Father's support for learning++
20052016*",Learning materials at home (books) total,Learning materials at home (books) poorest 20%,Learning materials at home (books) richest 20%,Learning materials at home (playthings) total,Learning materials at home (playthings) poorest 20%,Learning materials at home (playthings) richest 20%,Children with inadequate supervision total,Children with inadequate supervision male,Children with inadequate supervision female,Children with inadequate supervision poorest 20%,Children with inadequate supervision richest 20%,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Mongolia,68,68,68,36,90,55,55,55,38,71,10,33,13,57,56,57,58,10,9,11,15,8,,113
Montenegro,40,39,42,7,66,98,97,99,93,98,45,73,48,87,60,61,66,3,3,3,2,3,102,106
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,39,36,41,6,78,35,34,35,16,59,58,21,9,52,14,19,7,11,,,,,96,103
Mozambique,,,,,,47,45,48,48,50,20,3,2,10,,,,33,33,32,,,94,108
Myanmar,23,22,25,11,42,54,53,56,43,77,6,5,1,15,72,64,76,13,14,13,21,5,,107
Namibia,,,,,,,,,,,,,,,,,,,,,,,104,109
Nauru,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,51,52,49,41,84,67,70,64,51,90,10,5,1,16,59,60,60,21,20,21,30,12,104,105
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,105
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,104
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,108
Niger,,,,,,,,,,,,,,,,,,,,,,,104,103
Nigeria,43,42,43,10,84,65,66,64,48,89,37,6,0,19,38,29,48,40,40,40,40,34,,103
Niue,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,100,105
Oman,29,28,31,−,−,81,78,84,−,−,22,25,−,−,75,−,−,45,44,45,−,−,101,106
Pakistan,,,,,,,,,,,,,,,,,,,,,,,99,103
Palau,,,,,,,,,,,,,,,,,,,,,,,,
Panama,37,38,35,28,67,74,73,74,55,89,45,26,7,59,69,67,68,3,3,2,6,1,102,108
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,108
Paraguay,,,,,,,,,,,,,,,,,,,,,,,104,106
Peru,77,76,79,70,90,,,,,,,,,,,,,,,,,,103,107
Philippines,,,,,,,,,,,,,,,,,,,,,,,,110
Poland,,,,,,,,,,,,,,,,,,,,,,,100,111
Portugal,,,,,,,,,,,,,,,,,,,,,,,,108
Qatar,41,41,41,,,88,89,88,,,85,40,,,55,,,12,12,11,,,97,103
Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,100,108
Republic of Moldova,71,74,67,50,88,89,86,92,81,95,47,68,33,87,68,75,69,6,6,6,9,5,100,113
Romania,82,82,83,,,,,,,,,,,,,,,,,,,,100,110
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,101,117
Rwanda,13,12,14,3,45,49,49,49,36,66,3,1,0,3,30,21,41,35,35,35,38,21,118,107
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,98,
Saint Lucia,85,87,84,,,93,89,96,,,50,68,,,59,,,5,5,5,,,100,107
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,106
Samoa,,,,,,,,,,,,,,,,,,,,,,,97,109
San Marino,,,,,,,,,,,,,,,,,,,,,,,103,
Sao Tome and Principe,36,34,39,21,63,63,63,63,48,74,3,6,1,20,65,65,57,16,17,14,26,8,,107
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,104
Senegal,35,35,34,12,68,,,,,,,,,,,,,,,,,,108,106
Serbia,50,52,49,9,82,96,95,96,87,98,37,72,44,83,75,78,76,1,2,1,3,2,97,108
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,113
Sierra Leone,14,13,15,5,42,54,53,55,45,79,42,2,0,10,35,24,50,32,33,32,29,28,101,102
Singapore,,,,,,,,,,,,,,,,,,,,,,,,105
Slovakia,,,,,,,,,,,,,,,,,,,,,,,101,110
Slovenia,,,,,,,,,,,,,,,,,,,,,,,100,107
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,114,104
Somalia,2,2,2,1,6,79,80,79,76,85,48,,,,,,,,,,,,,106
South Africa,48,,,,,,,,,,,,,,,,,,,,,,,112
South Sudan,6,6,6,2,13,,,,,,,,,,,,,,,,,,,104
Spain,,,,,,,,,,,,,,,,,,,,,,,100,107
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,100,109
State of Palestine,26,27,26,21,38,78,77,78,69,87,12,20,13,31,69,64,72,14,14,15,15,12,105,105
Sudan,22,22,23,7,59,−,−,−,−,−,−,2,0,7,46,36,55,−,−,−,−,−,99,105
Suriname,34,33,35,16,63,73,71,75,56,91,26,25,4,61,59,61,60,7,7,7,9,8,115,109
Swaziland,30,26,33,28,48,39,33,44,25,59,2,6,2,19,67,56,78,17,16,17,18,15,107,112
Sweden,,,,,,,,,,,,,,,,,,,,,,,100,104
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,105
Syrian Arab Republic,8,8,7,4,18,70,70,69,52,84,62,30,12,53,52,52,51,17,17,17,22,15,101,120
Tajikistan,6,,,,,74,73,74,56,86,23,17,4,33,46,43,44,13,13,12,15,11,101,109
Thailand,85,84,85,86,84,93,93,92,87,98,34,41,23,73,76,81,67,2,6,6,8,3,,111
The former Yugoslav Republic of Macedonia,30,,,,,92,92,91,81,96,71,52,18,81,71,70,79,5,5,5,11,1,99,105
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,103,105
Togo,26,26,26,15,52,25,25,25,20,42,21,1,0,3,34,22,48,29,26,33,36,26,96,103
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,109
Trinidad and Tobago,75,74,76,65,87,98,98,98,96,100,63,81,66,93,65,63,72,1,1,1,2,0,,110
Tunisia,44,42,47,13,81,71,68,74,44,90,71,18,3,40,53,46,56,13,13,14,18,9,103,106
Turkey,,,,,,,,,,,,,,,,,,,,,,,99,109
Turkmenistan,43,43,43,17,81,94,94,95,92,98,15,48,30,66,53,59,56,1,0,1,1,1,,111
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,103,108
Ukraine,52,54,50,30,68,98,97,98,95,99,71,91,92,92,52,61,51,7,6,7,11,5,100,115
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,103,103
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,105
United Republic of Tanzania,,,,,,,,,,,,,,,,,,,,,,,115,106
United States,,,,,,,,,,,,,,,,,,,,,,,,106
Uruguay,81,83,80,,,93,94,91,,,66,59,,,75,,,3,3,3,,,101,110
Uzbekistan,21,21,21,,,91,91,90,83,95,54,43,32,59,67,74,62,5,5,5,6,7,101,108
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,106
Venezuela (Bolivarian Republic of),66,,,,,,,,,,,,,,,,,,,,,,100,112
Viet Nam,71,74,69,53,86,76,76,76,52,96,15,26,6,58,52,44,54,7,6,8,14,2,104,113
Yemen,3,3,3,0,8,33,34,32,16,56,37,10,4,31,49,45,49,34,36,33,46,22,93,105
Zambia,,,,,,,,,,,,,,,,,,,,,,,94,108
Zimbabwe,22,20,23,17,34,43,43,43,35,59,3,3,1,12,62,48,74,19,19,18,25,7,104,106
